project_id,milestone,original_start,original_end,current_start,current_end
SE-858,PRELIMINARY DESIGN,May 2014,Sep 2014,May 2014,Sep 2014
SE-858,FINAL DESIGN,Sep 2014,Mar 2015,Sep 2014,Mar 2015
SE-858,BID AWARD AND REGISTER CONTRCT,Mar 2015,Jun 2015,Mar 2015,Jun 2015
SE-858,CONSTRUCTION TO 25%,Jun 2015,Feb 2016,Jun 2015,Feb 2016
SE-858,CONSTRUCTION TO 50%,Feb 2016,Oct 2016,Feb 2016,Oct 2016
SE-858,CONSTRUCTION TO 75%,Oct 2016,Jun 2017,Oct 2016,Jun 2017
SE-858,ORIGINAL EQUIP & FURNISHING,Jul 2017,Sep 2017,Jul 2017,Sep 2017
SE-858,SUBSTANTIAL COMPLETION,Sep 2017,Nov 2017,Sep 2017,Nov 2017
SE-858,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2017,Dec 2017,Nov 2017,Aug 2022
SEK002351,DEVELOP SCOPE,Jun 2010,Sep 2010,Jun 2010,Sep 2010
SEK002351,PRELIMINARY DESIGN,Sep 2010,Jan 2011,Sep 2010,Jan 2011
SEK002351,FINAL DESIGN,Jan 2011,Jul 2011,Jan 2011,Jul 2011
SEK002351,BID AWARD AND REGISTER CONTRCT,Jul 2011,Oct 2011,Mar 2022,Jun 2022
SEK002351,CONSTRUCTION TO 25%,Oct 2011,Feb 2012,Jun 2022,Jun 2022
SEK002351,CONSTRUCTION TO 50%,Feb 2012,Jun 2012,Jun 2022,Jun 2022
SEK002351,CONSTRUCTION TO 75%,Jun 2012,Oct 2012,Jun 2022,Jun 2022
SEK002351,ORIGINAL EQUIP & FURNISHING,Oct 2012,Jan 2013,Jun 2022,Jun 2022
SEK002351,SUBSTANTIAL COMPLETION,Jan 2013,Mar 2013,Jun 2022,Jun 2022
SEK002351,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2013,Apr 2013,Jun 2024,Jul 2024
SEK002354,DEVELOP SCOPE,Feb 2009,May 2009,Feb 2009,May 2009
SEK002354,PRELIMINARY DESIGN,May 2009,Sep 2009,May 2009,Nov 2012
SEK002354,FINAL DESIGN,Sep 2009,Mar 2010,Nov 2012,May 2013
SEK002354,BID AWARD AND REGISTER CONTRCT,Mar 2010,Jun 2010,May 2013,Jan 2016
SEK002354,CONSTRUCTION TO 25%,Jun 2010,Oct 2010,Jan 2016,May 2016
SEK002354,CONSTRUCTION TO 50%,Oct 2010,Feb 2011,May 2016,Sep 2016
SEK002354,CONSTRUCTION TO 75%,Feb 2011,Jun 2011,Sep 2016,Dec 2016
SEK002354,ORIGINAL EQUIP & FURNISHING,Jun 2011,Sep 2011,Dec 2016,Dec 2018
SEK002354,SUBSTANTIAL COMPLETION,Sep 2011,Nov 2011,Jan 2019,Mar 2019
SEK002354,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2011,Dec 2011,Mar 2019,Jun 2024
SEK002376,DEVELOP SCOPE,Mar 2017,May 2017,Mar 2017,May 2017
SEK002376,PRELIMINARY DESIGN,May 2017,Sep 2017,May 2017,Sep 2017
SEK002376,FINAL DESIGN,Sep 2017,Mar 2018,Sep 2017,Mar 2018
SEK002376,BID AWARD AND REGISTER CONTRCT,Mar 2018,Jun 2018,Mar 2018,Jun 2018
SEK002376,CONSTRUCTION TO 25%,Jun 2018,Oct 2018,Jun 2018,Oct 2018
SEK002376,CONSTRUCTION TO 50%,Oct 2018,Feb 2019,Oct 2018,Feb 2019
SEK002376,CONSTRUCTION TO 75%,Feb 2019,Jun 2019,Feb 2019,Jun 2019
SEK002376,ORIGINAL EQUIP & FURNISHING,Jun 2019,Sep 2019,Jun 2019,Sep 2019
SEK002376,SUBSTANTIAL COMPLETION,Sep 2019,Nov 2019,Sep 2019,Nov 2019
SEK002376,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2019,Dec 2019,Nov 2019,Jun 2022
SEK002377,DEVELOP SCOPE,Jun 2018,Aug 2018,Jun 2018,Aug 2018
SEK002377,PRELIMINARY DESIGN,Aug 2018,Dec 2018,Aug 2018,Dec 2018
SEK002377,FINAL DESIGN,Dec 2018,Jun 2019,Dec 2018,Jun 2019
SEK002377,BID AWARD AND REGISTER CONTRCT,Jun 2019,Sep 2019,Jun 2019,Sep 2019
SEK002377,CONSTRUCTION TO 25%,Sep 2019,Jan 2020,Sep 2019,Jan 2020
SEK002377,CONSTRUCTION TO 50%,Jan 2020,May 2020,Jan 2020,May 2020
SEK002377,CONSTRUCTION TO 75%,May 2020,Sep 2020,May 2020,Sep 2020
SEK002377,ORIGINAL EQUIP & FURNISHING,Sep 2020,Dec 2020,Sep 2020,Dec 2020
SEK002377,SUBSTANTIAL COMPLETION,Dec 2020,Feb 2021,Dec 2020,Feb 2021
SEK002377,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2021,Mar 2021,Feb 2021,Jun 2026
SEK002380,DEVELOP SCOPE,Oct 2016,Jan 2017,Oct 2016,Jan 2017
SEK002380,PRELIMINARY DESIGN,Jan 2017,May 2017,Jan 2017,May 2017
SEK002380,FINAL DESIGN,May 2017,Nov 2017,May 2017,Nov 2017
SEK002380,BID AWARD AND REGISTER CONTRCT,Nov 2017,Feb 2018,Nov 2017,Feb 2018
SEK002380,CONSTRUCTION TO 25%,Feb 2018,Jun 2018,Feb 2018,Jun 2018
SEK002380,CONSTRUCTION TO 50%,Jun 2018,Sep 2018,Jun 2018,Sep 2018
SEK002380,CONSTRUCTION TO 75%,Sep 2018,Jan 2019,Sep 2018,Jan 2019
SEK002380,ORIGINAL EQUIP & FURNISHING,Jan 2019,Apr 2019,Jan 2019,Apr 2019
SEK002380,SUBSTANTIAL COMPLETION,Apr 2019,Jun 2019,Apr 2019,Jun 2019
SEK002380,"PUNCHLIST COMPLETE, JOB CLOSED",Jun 2019,Jul 2019,Jun 2019,Jun 2023
SEK002383,DEVELOP SCOPE,Aug 2018,Nov 2018,Aug 2018,Nov 2018
SEK002383,PRELIMINARY DESIGN,Nov 2018,Mar 2019,Nov 2018,Mar 2019
SEK002383,FINAL DESIGN,Mar 2019,Sep 2019,Mar 2019,Sep 2019
SEK002383,BID AWARD AND REGISTER CONTRCT,Sep 2019,Nov 2019,Sep 2019,Nov 2019
SEK002383,CONSTRUCTION TO 25%,Dec 2019,Mar 2020,Dec 2019,Mar 2020
SEK002383,CONSTRUCTION TO 50%,Mar 2020,Jul 2020,Mar 2020,Jul 2020
SEK002383,CONSTRUCTION TO 75%,Jul 2020,Nov 2020,Jul 2020,Nov 2020
SEK002383,ORIGINAL EQUIP & FURNISHING,Nov 2020,Feb 2021,Nov 2020,Feb 2021
SEK002383,SUBSTANTIAL COMPLETION,Feb 2021,Apr 2021,Feb 2021,Apr 2021
SEK002383,"PUNCHLIST COMPLETE, JOB CLOSED",Apr 2021,May 2021,Apr 2021,Jul 2026
SEK002384,DEVELOP SCOPE,Dec 2019,Mar 2020,Dec 2019,Mar 2020
SEK002384,PRELIMINARY DESIGN,Mar 2020,Jul 2020,Mar 2020,Jul 2020
SEK002384,FINAL DESIGN,Jul 2020,Jan 2021,Jul 2020,Jan 2021
SEK002384,BID AWARD AND REGISTER CONTRCT,Jan 2021,Apr 2021,Jan 2021,Apr 2021
SEK002384,CONSTRUCTION TO 25%,Apr 2021,Jul 2021,Apr 2021,Jul 2021
SEK002384,CONSTRUCTION TO 50%,Jul 2021,Nov 2021,Jul 2021,Nov 2021
SEK002384,CONSTRUCTION TO 75%,Nov 2021,Mar 2022,Nov 2021,Mar 2022
SEK002384,ORIGINAL EQUIP & FURNISHING,Mar 2022,Jun 2022,Mar 2022,Jun 2022
SEK002384,SUBSTANTIAL COMPLETION,Jun 2022,Aug 2022,Jun 2022,Aug 2022
SEK002384,"PUNCHLIST COMPLETE, JOB CLOSED",Aug 2022,Sep 2022,Aug 2022,Sep 2022
SEK002386,DEVELOP SCOPE,Mar 2017,May 2017,Mar 2017,May 2017
SEK002386,PRELIMINARY DESIGN,May 2017,Sep 2017,May 2017,Sep 2017
SEK002386,FINAL DESIGN,Sep 2017,Mar 2018,Sep 2017,Mar 2018
SEK002386,BID AWARD AND REGISTER CONTRCT,Mar 2018,Jun 2018,Mar 2018,Jun 2018
SEK002386,CONSTRUCTION TO 25%,Jun 2018,Oct 2018,Jun 2018,Oct 2018
SEK002386,CONSTRUCTION TO 50%,Oct 2018,Feb 2019,Oct 2018,Feb 2019
SEK002386,CONSTRUCTION TO 75%,Feb 2019,Jun 2019,Feb 2019,Jun 2019
SEK002386,ORIGINAL EQUIP & FURNISHING,Jun 2019,Sep 2019,Jun 2019,Sep 2019
SEK002386,SUBSTANTIAL COMPLETION,Sep 2019,Nov 2019,Sep 2019,Nov 2019
SEK002386,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2019,Dec 2019,Nov 2019,Jun 2023
SEK20056,DEVELOP SCOPE,Mar 2006,Jun 2006,Mar 2006,Jun 2006
SEK20056,PRELIMINARY DESIGN,Jun 2006,Oct 2006,Jun 2006,Oct 2006
SEK20056,FINAL DESIGN,Oct 2006,Apr 2007,Oct 2006,Apr 2007
SEK20056,BID AWARD AND REGISTER CONTRCT,Apr 2007,Jul 2007,Mar 2012,Jun 2012
SEK20056,CONSTRUCTION TO 25%,Jul 2007,Nov 2007,Jun 2012,Jun 2012
SEK20056,CONSTRUCTION TO 50%,Nov 2007,Mar 2008,Jun 2012,Jun 2012
SEK20056,CONSTRUCTION TO 75%,Mar 2008,Jul 2008,Jun 2012,Jun 2012
SEK20056,ORIGINAL EQUIP & FURNISHING,Jul 2008,Sep 2008,Jun 2012,Jun 2012
SEK20056,SUBSTANTIAL COMPLETION,Sep 2008,Nov 2008,Jun 2012,Jun 2012
SEK20056,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2008,Dec 2008,Jun 2012,Jun 2022
SEK20065,DEVELOP SCOPE,Mar 2012,May 2012,Apr 2011,Feb 2012
SEK20065,PRELIMINARY DESIGN,May 2012,Sep 2012,Feb 2012,Aug 2012
SEK20065,FINAL DESIGN,Sep 2012,Mar 2013,Aug 2012,Feb 2015
SEK20065,BID AWARD AND REGISTER CONTRCT,Mar 2013,Jun 2013,Feb 2015,Mar 2016
SEK20065,CONSTRUCTION TO 25%,Jun 2013,Oct 2013,Mar 2016,Jul 2016
SEK20065,CONSTRUCTION TO 50%,Oct 2013,Feb 2014,Jul 2016,Nov 2016
SEK20065,CONSTRUCTION TO 75%,Feb 2014,Jun 2014,Nov 2016,Mar 2017
SEK20065,ORIGINAL EQUIP & FURNISHING,Jun 2014,Sep 2014,Mar 2017,Nov 2018
SEK20065,SUBSTANTIAL COMPLETION,Sep 2014,Nov 2014,Nov 2018,Jan 2019
SEK20065,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2014,Dec 2014,Jan 2019,Jun 2024
SEK20067,DEVELOP SCOPE,Mar 2019,Jun 2019,Feb 2015,May 2017
SEK20067,PRELIMINARY DESIGN,Jun 2019,Sep 2019,May 2017,Sep 2017
SEK20067,FINAL DESIGN,Oct 2019,Mar 2020,Sep 2017,Mar 2018
SEK20067,BID AWARD AND REGISTER CONTRCT,Mar 2020,Jun 2020,Mar 2018,Jun 2018
SEK20067,CONSTRUCTION TO 25%,Jun 2020,Oct 2020,Jun 2018,Sep 2018
SEK20067,CONSTRUCTION TO 50%,Oct 2020,Feb 2021,Sep 2018,Jan 2019
SEK20067,CONSTRUCTION TO 75%,Feb 2021,Jun 2021,Jan 2019,Jun 2020
SEK20067,ORIGINAL EQUIP & FURNISHING,Jun 2021,Sep 2021,Jun 2020,Sep 2020
SEK20067,SUBSTANTIAL COMPLETION,Sep 2021,Nov 2021,Sep 2020,Nov 2020
SEK20067,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2021,Dec 2021,Nov 2020,Sep 2024
SEK20070,DEVELOP SCOPE,Oct 2013,Jun 2014,Oct 2013,Jun 2014
SEK20070,PRELIMINARY DESIGN,Jun 2014,Jun 2015,Jun 2014,Jun 2015
SEK20070,FINAL DESIGN,Jun 2015,Dec 2016,Jun 2015,Dec 2016
SEK20070,BID AWARD AND REGISTER CONTRCT,Dec 2016,Sep 2017,Dec 2016,Sep 2017
SEK20070,CONSTRUCTION TO 25%,Sep 2017,Sep 2018,Sep 2017,Sep 2018
SEK20070,CONSTRUCTION TO 50%,Sep 2018,Sep 2019,Sep 2018,Sep 2019
SEK20070,CONSTRUCTION TO 75%,Sep 2019,Aug 2020,Sep 2019,Aug 2020
SEK20070,ORIGINAL EQUIP & FURNISHING,Aug 2020,May 2021,Aug 2020,May 2021
SEK20070,SUBSTANTIAL COMPLETION,May 2021,Nov 2021,May 2021,Nov 2021
SEK20070,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2021,Feb 2022,Nov 2021,Feb 2022
SEK20076,DEVELOP SCOPE,Dec 2019,Mar 2020,Dec 2019,Mar 2020
SEK20076,PRELIMINARY DESIGN,Mar 2020,Jul 2020,Mar 2020,Jul 2020
SEK20076,FINAL DESIGN,Jul 2020,Jan 2021,Jul 2020,Jan 2021
SEK20076,BID AWARD AND REGISTER CONTRCT,Jan 2021,Apr 2021,Jan 2021,Apr 2021
SEK20076,CONSTRUCTION TO 25%,Apr 2021,Jul 2021,Apr 2021,Jul 2021
SEK20076,CONSTRUCTION TO 50%,Jul 2021,Nov 2021,Jul 2021,Nov 2021
SEK20076,CONSTRUCTION TO 75%,Nov 2021,Mar 2022,Nov 2021,Mar 2022
SEK20076,ORIGINAL EQUIP & FURNISHING,Mar 2022,Jun 2022,Mar 2022,Jun 2022
SEK20076,SUBSTANTIAL COMPLETION,Jun 2022,Aug 2022,Jun 2022,Aug 2022
SEK20076,"PUNCHLIST COMPLETE, JOB CLOSED",Aug 2022,Sep 2022,Aug 2022,Sep 2022
SEKBS8,DEVELOP SCOPE,Jun 2022,Aug 2022,Jun 2019,Aug 2022
SEKBS8,PRELIMINARY DESIGN,Aug 2022,Dec 2022,Aug 2022,Dec 2022
SEKBS8,FINAL DESIGN,Dec 2022,Jun 2023,Dec 2022,Jun 2023
SEKBS8,BID AWARD AND REGISTER CONTRCT,Jun 2023,Sep 2023,Jun 2023,Sep 2023
SEKBS8,CONSTRUCTION TO 25%,Sep 2023,Jan 2024,Sep 2023,Jan 2024
SEKBS8,CONSTRUCTION TO 50%,Jan 2024,May 2024,Jan 2024,May 2024
SEKBS8,CONSTRUCTION TO 75%,May 2024,Sep 2024,May 2024,Sep 2024
SEKBS8,ORIGINAL EQUIP & FURNISHING,Sep 2024,Dec 2024,Sep 2024,Dec 2024
SEKBS8,SUBSTANTIAL COMPLETION,Dec 2024,Feb 2025,Dec 2024,Feb 2025
SEKBS8,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2025,Mar 2025,Feb 2025,Dec 2025
SOLARDOS1,PROJECT START,Mar 2018,Mar 2018,Sep 2016,Sep 2016
SOLARDOS1,DESIGN START,Mar 2018,Mar 2018,Sep 2016,May 2017
SOLARDOS1,DESIGN COMPLETION,Mar 2018,Mar 2018,May 2017,Jun 2019
SOLARDOS1,CONSTRUCTION START,Mar 2018,Mar 2018,Jun 2019,Feb 2020
SOLARDOS1,CONSTRUCTION COMPLETION,Mar 2018,Mar 2018,Feb 2020,Dec 2022
ACEBPL901,DEVELOP SCOPE,Jan 2020,Feb 2020,Jun 2022,Apr 2024
ACEBPL901,BID AWARD AND REGISTER CONTRCT,Feb 2020,Apr 2020,May 2024,Jun 2024
ACEBPL901,CONSTRUCTION TO 50%,Apr 2020,Oct 2020,Jun 2024,Dec 2024
ACEBPL901,CONSTRUCTION TO 75%,Oct 2020,Jan 2021,Dec 2024,Mar 2025
ACEBPL901,SUBSTANTIAL COMPLETION,Jan 2021,Mar 2021,Mar 2025,May 2025
ACEBPL901,"PUNCHLIST COMPLETE, JOB CLOSED",Mar 2021,Apr 2021,May 2025,Jun 2025
ACEDEP901,DEVELOP SCOPE,Apr 2020,May 2020,Jun 2021,Jun 2021
ACEDEP901,BID AWARD AND REGISTER CONTRCT,May 2020,Jul 2020,Jul 2023,Aug 2023
ACEDEP901,CONSTRUCTION TO 50%,Jul 2020,Jan 2021,Aug 2023,Feb 2024
ACEDEP901,CONSTRUCTION TO 75%,Jan 2021,Apr 2021,Feb 2024,May 2024
ACEDEP901,SUBSTANTIAL COMPLETION,Apr 2021,Jun 2021,May 2024,Jul 2024
ACEDEP901,"PUNCHLIST COMPLETE, JOB CLOSED",Jun 2021,Jul 2021,Jul 2024,Aug 2024
ACEDOE607,DEVELOP SCOPE,Jun 2019,Jun 2019,Jun 2019,Jun 2019
ACEDOE607,BID AWARD AND REGISTER CONTRCT,Jul 2019,Aug 2019,Jul 2019,Aug 2019
ACEDOE607,CONSTRUCTION TO 50%,Aug 2019,Feb 2020,Jun 2022,Sep 2024
ACEDOE607,CONSTRUCTION TO 75%,Feb 2020,May 2020,Sep 2024,Dec 2024
ACEDOE607,SUBSTANTIAL COMPLETION,May 2020,Jul 2020,Dec 2024,Jan 2025
ACEDOE607,"PUNCHLIST COMPLETE, JOB CLOSED",Jul 2020,Aug 2020,Feb 2025,Mar 2025
ACEDOE702,DEVELOP SCOPE,Jun 2020,Jun 2020,Jun 2020,Jun 2020
ACEDOE702,BID AWARD AND REGISTER CONTRCT,Jul 2020,Aug 2020,Jul 2020,Aug 2020
ACEDOE702,CONSTRUCTION TO 50%,Aug 2020,Feb 2021,Aug 2020,Feb 2021
ACEDOE702,CONSTRUCTION TO 75%,Feb 2021,May 2021,Feb 2021,May 2021
ACEDOE702,SUBSTANTIAL COMPLETION,May 2021,Jul 2021,May 2021,Jul 2021
ACEDOE702,"PUNCHLIST COMPLETE, JOB CLOSED",Jul 2021,Aug 2021,Jul 2021,Aug 2021
BKLYNMTC,DEVELOP SCOPE,Jun 2020,Aug 2020,Jun 2020,Aug 2020
BKLYNMTC,PRELIMINARY DESIGN,Aug 2020,Dec 2020,Aug 2020,Dec 2020
BKLYNMTC,FINAL DESIGN,Dec 2020,Jun 2021,Dec 2020,Jun 2021
BKLYNMTC,BID AWARD AND REGISTER CONTRCT,Jun 2021,Sep 2021,Jun 2021,Sep 2021
BKLYNMTC,CONSTRUCTION TO 25%,Sep 2021,Jan 2022,Sep 2021,Jan 2022
BKLYNMTC,CONSTRUCTION TO 50%,Jan 2022,May 2022,Jan 2022,May 2022
BKLYNMTC,CONSTRUCTION TO 75%,May 2022,Sep 2022,May 2022,Sep 2022
BKLYNMTC,ORIGINAL EQUIP & FURNISHING,Sep 2022,Dec 2022,Sep 2022,Dec 2022
BKLYNMTC,SUBSTANTIAL COMPLETION,Dec 2022,Feb 2023,Dec 2022,Feb 2023
BKLYNMTC,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2023,Jun 2023,Feb 2023,Jun 2023
CO264BKCV,DEVELOP SCOPE,Aug 2016,Nov 2016,Aug 2016,Nov 2016
CO264BKCV,PRELIMINARY DESIGN,Nov 2016,Mar 2017,Nov 2016,Mar 2017
CO264BKCV,FINAL DESIGN,Mar 2017,Sep 2017,Mar 2017,Sep 2017
CO264BKCV,BID AWARD AND REGISTER CONTRCT,Sep 2017,Dec 2017,Sep 2017,Dec 2017
CO264BKCV,CONSTRUCTION TO 25%,Dec 2017,Apr 2018,Dec 2017,Apr 2018
CO264BKCV,CONSTRUCTION TO 50%,Apr 2018,Aug 2018,Apr 2018,Aug 2018
CO264BKCV,CONSTRUCTION TO 75%,Aug 2018,Dec 2018,Aug 2018,Dec 2018
CO264BKCV,ORIGINAL EQUIP & FURNISHING,Dec 2018,Mar 2019,Dec 2018,Mar 2019
CO264BKCV,SUBSTANTIAL COMPLETION,Mar 2019,May 2019,Mar 2019,May 2019
CO264BKCV,"PUNCHLIST COMPLETE, JOB CLOSED",May 2019,May 2023,May 2019,May 2023
CO272BLR,DEVELOP SCOPE,Jun 2021,Aug 2021,Jun 2021,Aug 2021
CO272BLR,PRELIMINARY DESIGN,Aug 2021,Dec 2021,Aug 2021,Dec 2021
CO272BLR,FINAL DESIGN,Dec 2021,Jun 2022,Dec 2021,Jun 2022
CO272BLR,BID AWARD AND REGISTER CONTRCT,Jun 2022,Sep 2022,Jun 2022,Sep 2022
CO272BLR,CONSTRUCTION TO 25%,Jun 2024,Oct 2025,Jun 2024,Oct 2025
CO272BLR,CONSTRUCTION TO 50%,Oct 2025,Feb 2026,Oct 2025,Feb 2026
CO272BLR,CONSTRUCTION TO 75%,Feb 2026,Jun 2026,Feb 2026,Jun 2026
CO272BLR,ORIGINAL EQUIP & FURNISHING,Jun 2026,Sep 2026,Jun 2026,Sep 2026
CO272BLR,SUBSTANTIAL COMPLETION,Sep 2026,Nov 2026,Sep 2026,Nov 2026
CO272BLR,"PUNCHLIST COMPLETE, JOB CLOSED",Nov 2026,Dec 2026,Nov 2026,Dec 2026
CO272CHIL,DEVELOP SCOPE,Jun 2019,Aug 2019,Jun 2019,Aug 2019
CO272CHIL,PRELIMINARY DESIGN,Aug 2019,Dec 2019,Aug 2019,Dec 2019
CO272CHIL,FINAL DESIGN,Dec 2019,Jun 2020,Dec 2019,Jun 2020
CO272CHIL,BID AWARD AND REGISTER CONTRCT,Jun 2020,Sep 2020,Jun 2020,Sep 2020
CO272CHIL,CONSTRUCTION TO 25%,Sep 2020,Jan 2021,Sep 2020,Jan 2021
CO272CHIL,CONSTRUCTION TO 50%,Jan 2021,May 2021,Jan 2021,May 2021
CO272CHIL,CONSTRUCTION TO 75%,May 2021,Sep 2021,May 2021,Sep 2021
CO272CHIL,ORIGINAL EQUIP & FURNISHING,Sep 2021,Dec 2021,Sep 2021,Dec 2021
CO272CHIL,SUBSTANTIAL COMPLETION,Dec 2021,Feb 2022,Dec 2021,Feb 2022
CO272CHIL,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2022,Mar 2022,Feb 2022,Mar 2022
CO272DW2,DEVELOP SCOPE,Jun 2020,Aug 2020,Jun 2020,Aug 2020
CO272DW2,PRELIMINARY DESIGN,Aug 2020,Dec 2020,Aug 2020,Dec 2020
CO272DW2,FINAL DESIGN,Dec 2020,Jun 2021,Dec 2020,Jun 2021
CO272DW2,BID AWARD AND REGISTER CONTRCT,Jun 2021,Sep 2021,Jun 2021,Sep 2021
CO272DW2,CONSTRUCTION TO 25%,Sep 2021,Jan 2022,Sep 2021,Jan 2022
CO272DW2,CONSTRUCTION TO 50%,Jan 2022,May 2022,Jan 2022,May 2022
CO272DW2,CONSTRUCTION TO 75%,May 2022,Sep 2022,May 2022,Sep 2022
CO272DW2,ORIGINAL EQUIP & FURNISHING,Sep 2022,Dec 2022,Sep 2022,Dec 2022
CO272DW2,SUBSTANTIAL COMPLETION,Dec 2022,Feb 2023,Dec 2022,Feb 2023
CO272DW2,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2023,Mar 2023,Feb 2023,Mar 2023
CO278ADA1,DEVELOP SCOPE,Jun 2021,Aug 2021,Jun 2021,Aug 2021
CO278ADA1,PRELIMINARY DESIGN,Aug 2021,Dec 2021,Aug 2021,Dec 2021
CO278ADA1,FINAL DESIGN,Dec 2021,Jun 2022,Dec 2021,Jun 2022
CO278ADA1,BID AWARD AND REGISTER CONTRCT,Jun 2022,Sep 2022,Jun 2022,Sep 2022
CO278ADA1,CONSTRUCTION TO 25%,Jun 2024,Sep 2024,Jun 2024,Sep 2024
CO278ADA1,CONSTRUCTION TO 50%,Sep 2024,Jan 2025,Sep 2024,Jan 2025
CO278ADA1,CONSTRUCTION TO 75%,Jan 2025,May 2025,Jan 2025,May 2025
CO278ADA1,ORIGINAL EQUIP & FURNISHING,May 2025,Aug 2025,May 2025,Aug 2025
CO278ADA1,SUBSTANTIAL COMPLETION,Aug 2025,Oct 2025,Aug 2025,Oct 2025
CO278ADA1,"PUNCHLIST COMPLETE, JOB CLOSED",Oct 2025,Nov 2025,Oct 2025,Nov 2025
CO278ELV,DEVELOP SCOPE,Jun 2022,Aug 2022,Jun 2022,Aug 2022
CO278ELV,PRELIMINARY DESIGN,Aug 2022,Dec 2022,Aug 2022,Dec 2022
CO278ELV,FINAL DESIGN,Dec 2022,Jun 2023,Dec 2022,Jun 2023
CO278ELV,BID AWARD AND REGISTER CONTRCT,Jun 2023,Sep 2023,Jun 2023,Sep 2023
CO278ELV,CONSTRUCTION TO 25%,Sep 2023,Jan 2024,Sep 2023,Jan 2024
CO278ELV,CONSTRUCTION TO 50%,Jan 2024,May 2024,Jan 2024,May 2024
CO278ELV,CONSTRUCTION TO 75%,May 2024,Sep 2024,May 2024,Sep 2024
CO278ELV,ORIGINAL EQUIP & FURNISHING,Sep 2024,Dec 2024,Sep 2024,Dec 2024
CO278ELV,SUBSTANTIAL COMPLETION,Dec 2024,Feb 2025,Dec 2024,Feb 2025
CO278ELV,"PUNCHLIST COMPLETE, JOB CLOSED",Feb 2025,Jun 2026,Feb 2025,Jun 2026
CO278RF,DEVELOP SCOPE,Feb 2022,May 2022,Feb 2022,May 2022
CO278RF,PRELIMINARY DESIGN,May 2022,Aug 2022,May 2022,Aug 2022
CO278RF,FINAL DESIGN,Aug 2022,Feb 2023,Aug 2022,Feb 2023
CO278RF,BID AWARD AND REGISTER CONTRCT,Feb 2023,May 2023,Feb 2023,May 2023
CO278RF,CONSTRUCTION TO 25%,May 2023,Sep 2023,May 2023,Sep 2023
CO278RF,CONSTRUCTION TO 50%,Sep 2023,Jan 2024,Sep 2023,Jan 2024
CO278RF,CONSTRUCTION TO 75%,Jan 2024,May 2024,Jan 2024,May 2024
CO278RF,ORIGINAL EQUIP & FURNISHING,May 2024,Aug 2024,May 2024,Aug 2024
CO278RF,SUBSTANTIAL COMPLETION,Aug 2024,Oct 2024,Aug 2024,Oct 2024
CO278RF,"PUNCHLIST COMPLETE, JOB CLOSED",Oct 2024,Nov 2024,Oct 2024,Nov 2024
CO278TOIL,DEVELOP SCOPE,Jan 2016,Mar 2016,Jun 2022,Sep 2022
CO278TOIL,PRELIMINARY DESIGN,Mar 2016,Jul 2016,Sep 2022,Jan 2023
CO278TOIL,FINAL DESIGN,Jul 2016,Jan 2017,Jan 2023,Jul 2023
CO278TOIL,BID AWARD AND REGISTER CONTRCT,Jan 2017,Apr 2017,Jul 2023,Oct 2023
CO278TOIL,CONSTRUCTION TO 25%,Apr 2017,Aug 2017,Oct 2023,Feb 2024
CO278TOIL,CONSTRUCTION TO 50%,Aug 2017,Dec 2017,Feb 2024,Jun 2024
CO278TOIL,CONSTRUCTION TO 75%,Dec 2017,Apr 2018,Jun 2024,Oct 2024
CO278TOIL,ORIGINAL EQUIP & FURNISHING,Apr 2018,Jul 2018,Oct 2024,Jan 2025
CO278TOIL,SUBSTANTIAL COMPLETION,Jul 2018,Sep 2018,Jan 2025,Mar 2025
CO278TOIL,"PUNCHLIST COMPLETE, JOB CLOSED",Sep 2018,Oct 2018,Mar 2025,Apr 2025
E09-00030,DEVELOP SCOPE,Jan 2011,Jan 2011,Jun 2020,Jun 2020
E09-00030,BID AWARD AND REGISTER CONTRCT,Jan 2011,Mar 2011,Jul 2020,Jul 2020
E09-00030,CONSTRUCTION TO 50%,Mar 2011,May 2011,Jul 2020,Oct 2020
E09-00030,CONSTRUCTION TO 75%,May 2011,Jul 2011,Oct 2020,Dec 2020
E09-00030,SUBSTANTIAL COMPLETION,Jul 2011,Jul 2011,Dec 2020,Dec 2020
E09-00030,"PUNCHLIST COMPLETE, JOB CLOSED",Jul 2011,Aug 2011,Dec 2020,Jun 2022
EO26-0020,DEVELOP SCOPE,Jun 2020,Jun 2020,Jun 2020,Jun 2020
EO26-0020,BID AWARD AND REGISTER CONTRCT,Jul 2020,Aug 2020,Jul 2020,Aug 2020
EO26-0020,CONSTRUCTION TO 50%,Aug 2020,Feb 2021,Aug 2020,Feb 2021
