"ogc_fid","station id","complex id","gtfs stop id","division","line","stop name","borough","daytime routes","structure","gtfs latitude","gtfs longitude","north direction label","south direction label"
203,202,"202","H14","IND","Rockaway","Beach 105 St","Q","A S","Viaduct","40.583209","-73.827559","Manhattan","Rockaway Park"
204,203,"203","H15","IND","Rockaway","Rockaway Park - Beach 116 St","Q","A S","At Grade","40.580903","-73.835592","Manhattan",""
205,204,"204","H06","IND","Rockaway","Beach 67 St","Q","A","Viaduct","40.590927","-73.796924","Manhattan","Far Rockaway"
206,205,"205","H07","IND","Rockaway","Beach 60 St","Q","A","Viaduct","40.592374","-73.788522","Manhattan","Far Rockaway"
207,206,"206","H08","IND","Rockaway","Beach 44 St","Q","A","Viaduct","40.592943","-73.776013","Manhattan","Far Rockaway"
208,207,"207","H09","IND","Rockaway","Beach 36 St","Q","A","Viaduct","40.595398","-73.768175","Manhattan","Far Rockaway"
209,208,"208","H10","IND","Rockaway","Beach 25 St","Q","A","Viaduct","40.600066","-73.761353","Manhattan","Far Rockaway"
210,209,"209","H11","IND","Rockaway","Far Rockaway - Mott Av","Q","A","Viaduct","40.603995","-73.755405","Manhattan",""
211,210,"210","D01","IND","Concourse","Norwood - 205 St","Bx","D","Subway","40.874811","-73.878855","","Manhattan"
212,211,"211","D03","IND","Concourse","Bedford Park Blvd","Bx","B D","Subway","40.873244","-73.887138","Norwood - 205 St","Manhattan"
213,212,"212","D04","IND","Concourse","Kingsbridge Rd","Bx","B D","Subway","40.866978","-73.893509","Bedford Pk Blvd & 205 St","Manhattan"
214,213,"213","D05","IND","Concourse","Fordham Rd","Bx","B D","Subway","40.861296","-73.897749","Bedford Pk Blvd & 205 St","Manhattan"
215,214,"214","D06","IND","Concourse","182-183 Sts","Bx","B D","Subway","40.856093","-73.900741","Bedford Pk Blvd & 205 St","Manhattan"
216,215,"215","D07","IND","Concourse","Tremont Av","Bx","B D","Subway","40.85041","-73.905227","Bedford Pk Blvd & 205 St","Manhattan"
217,216,"216","D08","IND","Concourse","174-175 Sts","Bx","B D","Subway","40.8459","-73.910136","Bedford Pk Blvd & 205 St","Manhattan"
218,217,"217","D09","IND","Concourse","170 St","Bx","B D","Subway","40.839306","-73.9134","Bedford Pk Blvd & 205 St","Manhattan"
219,218,"218","D10","IND","Concourse","167 St","Bx","B D","Subway","40.833771","-73.91844","Bedford Pk Blvd & 205 St","Manhattan"
220,219,"604","D11","IND","Concourse","161 St - Yankee Stadium","Bx","B D","Subway","40.827905","-73.925651","Bedford Pk Blvd & 205 St","Manhattan"
221,220,"220","D12","IND","Concourse","155 St","M","B D","Subway","40.830135","-73.938209","The Bronx","Downtown & Brooklyn"
222,221,"221","B04","IND","63rd St","21 St - Queensbridge","Q","F","Subway","40.754203","-73.942836","Jamaica","Manhattan"
223,222,"222","B06","IND","63rd St","Roosevelt Island","M","F","Subway","40.759145","-73.95326","Queens","Manhattan"
224,223,"223","B08","IND","63rd St","Lexington Av/63 St","M","F Q","Subway","40.764629","-73.966113","Uptown - Queens","Downtown & Brooklyn"
225,224,"224","B10","IND","6th Av - Culver","57 St","M","F","Subway","40.763972","-73.97745","Uptown & Queens","Downtown & Brooklyn"
226,225,"225","D15","IND","6th Av - Culver","47-50 Sts - Rockefeller Ctr","M","B D F M","Subway","40.758663","-73.981329","Uptown & The Bronx - Queens","Downtown & Brooklyn"
227,226,"609","D16","IND","6th Av - Culver","42 St - Bryant Pk","M","B D F M","Subway","40.754222","-73.984569","Uptown & The Bronx - Queens","Downtown & Brooklyn"
228,227,"607","D17","IND","6th Av - Culver","34 St - Herald Sq","M","B D F M","Subway","40.749719","-73.987823","Uptown & The Bronx - Queens","Downtown & Brooklyn"
229,228,"228","D18","IND","6th Av - Culver","23 St","M","F M","Subway","40.742878","-73.992821","Uptown & Queens","Downtown & Brooklyn"
230,229,"601","D19","IND","6th Av - Culver","14 St","M","F M","Subway","40.738228","-73.996209","Uptown & Queens","Downtown & Brooklyn"
231,230,"619","D21","IND","6th Av - Culver","Broadway-Lafayette St","M","B D F M","Subway","40.725297","-73.996204","Uptown & The Bronx - Queens","Downtown & Brooklyn"
232,231,"231","D22","IND","6th Av - Culver","Grand St","M","B D","Subway","40.718267","-73.993753","Uptown & The Bronx","Brooklyn"
233,232,"232","F14","IND","6th Av - Culver","2 Av","M","F","Subway","40.723402","-73.989938","Uptown & Queens","Downtown & Brooklyn"
234,233,"625","F15","IND","6th Av - Culver","Delancey St","M","F","Subway","40.718611","-73.988114","Uptown & Queens","Downtown & Brooklyn"
235,234,"234","F16","IND","6th Av - Culver","East Broadway","M","F","Subway","40.713715","-73.990173","Uptown & Queens","Brooklyn"
236,235,"235","F18","IND","6th Av - Culver","York St","Bk","F","Subway","40.701397","-73.986751","Manhattan","Coney Island"
237,236,"236","F20","IND","6th Av - Culver","Bergen St","Bk","F G","Subway","40.686145","-73.990862","Manhattan - Queens","Church Av - Coney Island"
238,237,"237","F21","IND","6th Av - Culver","Carroll St","Bk","F G","Subway","40.680303","-73.995048","Manhattan - Queens","Church Av - Coney Island"
239,238,"238","F22","IND","6th Av - Culver","Smith - 9 Sts","Bk","F G","Viaduct","40.67358","-73.995959","Manhattan - Queens","Church Av - Coney Island"
240,239,"608","F23","IND","6th Av - Culver","4 Av","Bk","F G","Viaduct","40.670272","-73.989779","Manhattan - Queens","Church Av - Coney Island"
241,240,"240","F24","IND","6th Av - Culver","7 Av","Bk","F G","Subway","40.666271","-73.980305","Manhattan - Queens","Church Av - Coney Island"
242,241,"241","F25","IND","6th Av - Culver","15 St - Prospect Park","Bk","F G","Subway","40.660365","-73.979493","Manhattan - Queens","Church Av - Coney Island"
243,242,"242","F26","IND","6th Av - Culver","Fort Hamilton Pkwy","Bk","F G","Subway","40.650782","-73.975776","Manhattan - Queens","Church Av - Coney Island"
244,243,"243","F27","IND","6th Av - Culver","Church Av","Bk","F","Subway","40.644041","-73.979678","Manhattan","Coney Island"
245,244,"244","F29","IND","6th Av - Culver","Ditmas Av","Bk","F","Elevated","40.636119","-73.978172","Manhattan","Coney Island"
246,245,"245","F30","IND","6th Av - Culver","18 Av","Bk","F","Elevated","40.629755","-73.976971","Manhattan","Coney Island"
247,246,"246","F31","IND","6th Av - Culver","Avenue I","Bk","F","Elevated","40.625322","-73.976127","Manhattan","Coney Island"
248,247,"247","F32","IND","6th Av - Culver","Bay Pkwy","Bk","F","Elevated","40.620769","-73.975264","Manhattan","Coney Island"
249,248,"248","F33","IND","6th Av - Culver","Avenue N","Bk","F","Elevated","40.61514","-73.974197","Manhattan","Coney Island"
250,249,"249","F34","IND","6th Av - Culver","Avenue P","Bk","F","Elevated","40.608944","-73.973022","Manhattan","Coney Island"
251,250,"250","F35","IND","6th Av - Culver","Kings Hwy","Bk","F","Elevated","40.603217","-73.972361","Manhattan","Coney Island"
252,251,"251","F36","IND","6th Av - Culver","Avenue U","Bk","F","Elevated","40.596063","-73.973357","Manhattan","Coney Island"
253,252,"252","F38","IND","6th Av - Culver","Avenue X","Bk","F","Elevated","40.58962","-73.97425","Manhattan","Coney Island"
254,253,"253","F39","IND","6th Av - Culver","Neptune Av","Bk","F","Elevated","40.581011","-73.974574","Manhattan","Stillwell Av"
255,254,"254","F01","IND","Queens Blvd","Jamaica - 179 St","Q","F","Subway","40.712646","-73.783817","","Manhattan"
256,255,"255","F02","IND","Queens Blvd","169 St","Q","F","Subway","40.71047","-73.793604","179 St","Manhattan"
257,256,"256","F03","IND","Queens Blvd","Parsons Blvd","Q","F","Subway","40.707564","-73.803326","179 St","Manhattan"
258,257,"257","F04","IND","Queens Blvd","Sutphin Blvd","Q","F","Subway","40.70546","-73.810708","179 St","Manhattan"
259,258,"258","F05","IND","Queens Blvd","Briarwood - Van Wyck Blvd","Q","E F","Subway","40.709179","-73.820574","Jamaica","Manhattan"
260,259,"259","F06","IND","Queens Blvd","Kew Gardens - Union Tpke","Q","E F","Subway","40.714441","-73.831008","Jamaica","Manhattan"
261,260,"260","F07","IND","Queens Blvd","75 Av","Q","E F","Subway","40.718331","-73.837324","Jamaica","Manhattan"
262,261,"261","G08","IND","Queens Blvd","Forest Hills - 71 Av","Q","E F M R","Subway","40.721691","-73.844521","Jamaica","Manhattan"
263,262,"262","G09","IND","Queens Blvd","67 Av","Q","M R","Subway","40.726523","-73.852719","Forest Hills","Manhattan"
264,263,"263","G10","IND","Queens Blvd","63 Dr - Rego Park","Q","M R","Subway","40.729846","-73.861604","Forest Hills","Manhattan"
265,264,"264","G11","IND","Queens Blvd","Woodhaven Blvd","Q","M R","Subway","40.733106","-73.869229","Forest Hills","Manhattan"
266,265,"265","G12","IND","Queens Blvd","Grand Av - Newtown","Q","M R","Subway","40.737015","-73.877223","Forest Hills","Manhattan"
267,266,"266","G13","IND","Queens Blvd","Elmhurst Av","Q","M R","Subway","40.742454","-73.882017","Forest Hills","Manhattan"
268,267,"616","G14","IND","Queens Blvd","Jackson Hts - Roosevelt Av","Q","E F M R","Subway","40.746644","-73.891338","Forest Hills - Jamaica","Manhattan"
269,268,"268","G15","IND","Queens Blvd","65 St","Q","M R","Subway","40.749669","-73.898453","Forest Hills","Manhattan"
270,269,"269","G16","IND","Queens Blvd","Northern Blvd","Q","M R","Subway","40.752885","-73.906006","Forest Hills","Manhattan"
271,270,"270","G18","IND","Queens Blvd","46 St","Q","M R","Subway","40.756312","-73.913333","Forest Hills","Manhattan"
272,271,"271","G19","IND","Queens Blvd","Steinway St","Q","M R","Subway","40.756879","-73.92074","Forest Hills","Manhattan"
273,272,"272","G20","IND","Queens Blvd","36 St","Q","M R","Subway","40.752039","-73.928781","Forest Hills","Manhattan"
274,273,"273","G21","IND","Queens Blvd","Queens Plaza","Q","E M R","Subway","40.748973","-73.937243","Forest Hills - Jamaica","Manhattan"
275,274,"606","F09","IND","Queens Blvd","Court Sq","Q","E M","Subway","40.747846","-73.946","Forest Hills - Jamaica","Manhattan"
276,275,"612","F11","IND","Queens Blvd","Lexington Av/53 St","M","E M","Subway","40.757552","-73.969055","Queens","Downtown & Brooklyn"
277,276,"276","F12","IND","Queens Blvd","5 Av/53 St","M","E M","Subway","40.760167","-73.975224","Queens","Downtown & Brooklyn"
278,277,"277","D14","IND","Queens Blvd","7 Av","M","B D E","Subway","40.762862","-73.981637","Uptown & The Bronx - Queens","Downtown & Brooklyn"
279,278,"278","G05","IND","Queens - Archer","Jamaica Center - Parsons/Archer","Q","E J Z","Subway","40.702147","-73.801109","","Manhattan"
280,279,"279","G06","IND","Queens - Archer","Sutphin Blvd - Archer Av - JFK Airport","Q","E J Z","Subway","40.700486","-73.807969","Jamaica Center","Manhattan"
281,280,"280","G07","IND","Queens - Archer","Jamaica - Van Wyck","Q","E","Subway","40.702566","-73.816859","Jamaica Center","Manhattan"
282,281,"606","G22","IND","Crosstown","Court Sq","Q","G","Subway","40.746554","-73.943832","","Brooklyn"
283,282,"282","G24","IND","Crosstown","21 St","Q","G","Subway","40.744065","-73.949724","Court Sq","Brooklyn"
284,283,"283","G26","IND","Crosstown","Greenpoint Av","Bk","G","Subway","40.731352","-73.954449","Queens","Church Av"
285,284,"284","G28","IND","Crosstown","Nassau Av","Bk","G","Subway","40.724635","-73.951277","Queens","Church Av"
286,285,"629","G29","IND","Crosstown","Metropolitan Av","Bk","G","Subway","40.712792","-73.951418","Queens","Church Av"
287,286,"286","G30","IND","Crosstown","Broadway","Bk","G","Subway","40.706092","-73.950308","Queens","Church Av"
288,287,"287","G31","IND","Crosstown","Flushing Av","Bk","G","Subway","40.700377","-73.950234","Queens","Church Av"
289,288,"288","G32","IND","Crosstown","Myrtle - Willoughby Avs","Bk","G","Subway","40.694568","-73.949046","Queens","Church Av"
290,289,"289","G33","IND","Crosstown","Bedford - Nostrand Avs","Bk","G","Subway","40.689627","-73.953522","Queens","Church Av"
291,290,"290","G34","IND","Crosstown","Classon Av","Bk","G","Subway","40.688873","-73.96007","Queens","Church Av"
292,291,"291","G35","IND","Crosstown","Clinton - Washington Avs","Bk","G","Subway","40.688089","-73.966839","Queens","Church Av"
293,292,"292","G36","IND","Crosstown","Fulton St","Bk","G","Subway","40.687119","-73.975375","Queens","Church Av"
294,293,"293","101","IRT","Broadway - 7Av","Van Cortlandt Park - 242 St","Bx","1","Elevated","40.889248","-73.898583","","Manhattan"
295,294,"294","103","IRT","Broadway - 7Av","238 St","Bx","1","Elevated","40.884667","-73.90087","242 St","Manhattan"
296,295,"295","104","IRT","Broadway - 7Av","231 St","Bx","1","Elevated","40.878856","-73.904834","242 St","Manhattan"
297,296,"296","106","IRT","Broadway - 7Av","Marble Hill - 225 St","M","1","Elevated","40.874561","-73.909831","242 St","Downtown"
298,297,"297","107","IRT","Broadway - 7Av","215 St","M","1","Elevated","40.869444","-73.915279","The Bronx","Downtown"
299,298,"298","108","IRT","Broadway - 7Av","207 St","M","1","Elevated","40.864621","-73.918822","Uptown & The Bronx","Downtown"
300,299,"299","109","IRT","Broadway - 7Av","Dyckman St","M","1","Elevated","40.860531","-73.925536","Uptown & The Bronx","Downtown"
301,300,"300","110","IRT","Broadway - 7Av","191 St","M","1","Subway","40.855225","-73.929412","Uptown & The Bronx","Downtown"
302,301,"301","111","IRT","Broadway - 7Av","181 St","M","1","Subway","40.849505","-73.933596","Uptown & The Bronx","Downtown"
303,302,"605","112","IRT","Broadway - 7Av","168 St - Washington Hts","M","1","Subway","40.840556","-73.940133","Uptown & The Bronx","Downtown"
304,303,"303","113","IRT","Broadway - 7Av","157 St","M","1","Subway","40.834041","-73.94489","Uptown & The Bronx","Downtown"
305,304,"304","114","IRT","Broadway - 7Av","145 St","M","1","Subway","40.826551","-73.95036","Uptown & The Bronx","Downtown"
306,305,"305","115","IRT","Broadway - 7Av","137 St - City College","M","1","Subway","40.822008","-73.953676","Uptown & The Bronx","Downtown"
307,306,"306","116","IRT","Broadway - 7Av","125 St","M","1","Elevated","40.815581","-73.958372","Uptown & The Bronx","Downtown"
308,307,"307","117","IRT","Broadway - 7Av","116 St - Columbia University","M","1","Subway","40.807722","-73.96411","Uptown & The Bronx","Downtown"
309,308,"308","118","IRT","Broadway - 7Av","Cathedral Pkwy","M","1","Subway","40.803967","-73.966847","Uptown & The Bronx","Downtown"
310,309,"309","119","IRT","Broadway - 7Av","103 St","M","1","Subway","40.799446","-73.968379","Uptown & The Bronx","Downtown"
311,310,"310","120","IRT","Broadway - 7Av","96 St","M","1 2 3","Subway","40.793919","-73.972323","Uptown & The Bronx","Downtown & Brooklyn"
312,311,"311","121","IRT","Broadway - 7Av","86 St","M","1","Subway","40.788644","-73.976218","Uptown & The Bronx","Downtown"
313,312,"312","122","IRT","Broadway - 7Av","79 St","M","1","Subway","40.783934","-73.979917","Uptown & The Bronx","Downtown"
314,313,"313","123","IRT","Broadway - 7Av","72 St","M","1 2 3","Subway","40.778453","-73.98197","Uptown & The Bronx","Downtown & Brooklyn"
315,314,"314","124","IRT","Broadway - 7Av","66 St - Lincoln Center","M","1","Subway","40.77344","-73.982209","Uptown & The Bronx","Downtown"
316,315,"614","125","IRT","Broadway - 7Av","59 St - Columbus Circle","M","1","Subway","40.768247","-73.981929","Uptown & The Bronx","Downtown"
317,316,"316","126","IRT","Broadway - 7Av","50 St","M","1","Subway","40.761728","-73.983849","Uptown & The Bronx","Downtown"
318,317,"611","127","IRT","Broadway - 7Av","Times Sq - 42 St","M","1 2 3","Subway","40.75529","-73.987495","Uptown & The Bronx","Downtown & Brooklyn"
319,318,"318","128","IRT","Broadway - 7Av","34 St - Penn Station","M","1 2 3","Subway","40.750373","-73.991057","Uptown & The Bronx","Downtown & Brooklyn"
320,319,"319","129","IRT","Broadway - 7Av","28 St","M","1","Subway","40.747215","-73.993365","Uptown & The Bronx","Downtown"
321,320,"320","130","IRT","Broadway - 7Av","23 St","M","1","Subway","40.744081","-73.995657","Uptown & The Bronx","Downtown"
322,321,"321","131","IRT","Broadway - 7Av","18 St","M","1","Subway","40.74104","-73.997871","Uptown & The Bronx","Downtown"
323,322,"601","132","IRT","Broadway - 7Av","14 St","M","1 2 3","Subway","40.737826","-74.000201","Uptown & The Bronx","Downtown & Brooklyn"
324,323,"323","133","IRT","Broadway - 7Av","Christopher St - Sheridan Sq","M","1","Subway","40.733422","-74.002906","Uptown & The Bronx","Downtown"
325,324,"324","134","IRT","Broadway - 7Av","Houston St","M","1","Subway","40.728251","-74.005367","Uptown & The Bronx","Downtown"
326,325,"325","135","IRT","Broadway - 7Av","Canal St","M","1","Subway","40.722854","-74.006277","Uptown & The Bronx","Downtown"
327,326,"326","136","IRT","Broadway - 7Av","Franklin St","M","1","Subway","40.719318","-74.006886","Uptown & The Bronx","Downtown"
328,327,"327","137","IRT","Broadway - 7Av","Chambers St","M","1 2 3","Subway","40.715478","-74.009266","Uptown & The Bronx","Downtown & Brooklyn"
329,328,"328","138","IRT","Broadway - 7Av","WTC Cortlandt","M","1","Subway","40.711835","-74.012188","Uptown & The Bronx","Downtown"
330,329,"329","139","IRT","Broadway - 7Av","Rector St","M","1","Subway","40.707513","-74.013783","Uptown & The Bronx","Downtown"
331,330,"635","142","IRT","Broadway - 7Av","South Ferry","M","1","Subway","40.702068","-74.013664","Uptown & The Bronx",""
332,331,"624","228","IRT","Clark St","Park Pl","M","2 3","Subway","40.713051","-74.008811","Uptown & The Bronx","Downtown & Brooklyn"
333,332,"628","229","IRT","Clark St","Fulton St","M","2 3","Subway","40.709416","-74.006571","Uptown & The Bronx","Downtown & Brooklyn"
334,333,"333","230","IRT","Clark St","Wall St","M","2 3","Subway","40.706821","-74.0091","Uptown & The Bronx","Brooklyn"
335,334,"334","231","IRT","Clark St","Clark St","Bk","2 3","Subway","40.697466","-73.993086","Manhattan","Flatbush - New Lots"
336,335,"620","232","IRT","Clark St","Borough Hall","Bk","2 3","Subway","40.693219","-73.989998","Manhattan","Flatbush - New Lots"
337,336,"336","233","IRT","Eastern Pky","Hoyt St","Bk","2 3","Subway","40.690545","-73.985065","Manhattan","Flatbush - New Lots"
338,337,"337","234","IRT","Eastern Pky","Nevins St","Bk","2 3 4 5","Subway","40.688246","-73.980492","Manhattan","Flatbush - Utica - New Lots"
339,338,"617","235","IRT","Eastern Pky","Atlantic Av - Barclays Ctr","Bk","2 3","Subway","40.684359","-73.977666","Manhattan","Flatbush - New Lots"
340,339,"339","236","IRT","Eastern Pky","Bergen St","Bk","2 3","Subway","40.680829","-73.975098","Manhattan","Flatbush - New Lots"
341,340,"340","237","IRT","Eastern Pky","Grand Army Plaza","Bk","2 3","Subway","40.675235","-73.971046","Manhattan","Flatbush - New Lots"
342,341,"341","238","IRT","Eastern Pky","Eastern Pkwy - Brooklyn Museum","Bk","2 3","Subway","40.671987","-73.964375","Manhattan","Flatbush - New Lots"
343,342,"626","239","IRT","Eastern Pky","Franklin Av","Bk","2 3 4 5","Subway","40.670682","-73.958131","Manhattan","Flatbush - Utica - New Lots"
344,343,"343","248","IRT","Eastern Pky","Nostrand Av","Bk","3","Subway","40.669847","-73.950466","Manhattan","New Lots"
345,344,"344","249","IRT","Eastern Pky","Kingston Av","Bk","3","Subway","40.669399","-73.942161","Manhattan","New Lots"
346,345,"345","250","IRT","Eastern Pky","Crown Hts - Utica Av","Bk","3 4","Subway","40.668897","-73.932942","Manhattan","New Lots"
347,346,"346","251","IRT","Eastern Pky","Sutter Av - Rutland Rd","Bk","3","Elevated","40.664717","-73.92261","Manhattan","New Lots"
348,347,"347","252","IRT","Eastern Pky","Saratoga Av","Bk","3","Elevated","40.661453","-73.916327","Manhattan","New Lots"
349,348,"348","253","IRT","Eastern Pky","Rockaway Av","Bk","3","Elevated","40.662549","-73.908946","Manhattan","New Lots"
350,349,"349","254","IRT","Eastern Pky","Junius St","Bk","3","Elevated","40.663515","-73.902447","Manhattan","New Lots"
351,350,"350","255","IRT","Eastern Pky","Pennsylvania Av","Bk","3","Elevated","40.664635","-73.894895","Manhattan","New Lots"
352,351,"351","256","IRT","Eastern Pky","Van Siclen Av","Bk","3","Elevated","40.665449","-73.889395","Manhattan","New Lots"
353,352,"352","257","IRT","Eastern Pky","New Lots Av","Bk","3","Elevated","40.666235","-73.884079","Manhattan",""
354,353,"353","241","IRT","Nostrand","President St","Bk","2 5","Subway","40.667883","-73.950683","Manhattan","Flatbush"
355,354,"354","242","IRT","Nostrand","Sterling St","Bk","2 5","Subway","40.662742","-73.95085","Manhattan","Flatbush"
356,355,"355","243","IRT","Nostrand","Winthrop St","Bk","2 5","Subway","40.656652","-73.9502","Manhattan","Flatbush"
357,356,"356","244","IRT","Nostrand","Church Av","Bk","2 5","Subway","40.650843","-73.949575","Manhattan","Flatbush"
358,357,"357","245","IRT","Nostrand","Beverly Rd","Bk","2 5","Subway","40.645098","-73.948959","Manhattan","Flatbush"
359,358,"358","246","IRT","Nostrand","Newkirk Av","Bk","2 5","Subway","40.639967","-73.948411","Manhattan","Flatbush"
360,359,"359","247","IRT","Nostrand","Flatbush Av - Brooklyn College","Bk","2 5","Subway","40.632836","-73.947642","Manhattan",""
361,360,"360","601","IRT","Pelham","Pelham Bay Park","Bx","6","Elevated","40.852462","-73.828121","","Manhattan"
362,361,"361","602","IRT","Pelham","Buhre Av","Bx","6","Elevated","40.84681","-73.832569","Pelham Bay Park","Manhattan"
363,362,"362","603","IRT","Pelham","Middletown Rd","Bx","6","Elevated","40.843863","-73.836322","Pelham Bay Park","Manhattan"
364,363,"363","604","IRT","Pelham","Westchester Sq - E Tremont Av","Bx","6","Elevated","40.839892","-73.842952","Pelham Bay Park","Manhattan"
365,364,"364","606","IRT","Pelham","Zerega Av","Bx","6","Elevated","40.836488","-73.847036","Pelham Bay Park","Manhattan"
366,365,"365","607","IRT","Pelham","Castle Hill Av","Bx","6","Elevated","40.834255","-73.851222","Pelham Bay Park","Manhattan"
367,366,"366","608","IRT","Pelham","Parkchester","Bx","6","Elevated","40.833226","-73.860816","Pelham Bay Park","Manhattan"
368,367,"367","609","IRT","Pelham","St Lawrence Av","Bx","6","Elevated","40.831509","-73.867618","Pelham Bay Park","Manhattan"
369,368,"368","610","IRT","Pelham","Morrison Av- Sound View","Bx","6","Elevated","40.829521","-73.874516","Pelham Bay Park","Manhattan"
370,369,"369","611","IRT","Pelham","Elder Av","Bx","6","Elevated","40.828584","-73.879159","Pelham Bay Park","Manhattan"
371,370,"370","612","IRT","Pelham","Whitlock Av","Bx","6","Elevated","40.826525","-73.886283","Pelham Bay Park","Manhattan"
372,371,"371","613","IRT","Pelham","Hunts Point Av","Bx","6","Subway","40.820948","-73.890549","Pelham Bay Park","Manhattan"
373,372,"372","614","IRT","Pelham","Longwood Av","Bx","6","Subway","40.816104","-73.896435","Pelham Bay Park","Manhattan"
374,373,"373","615","IRT","Pelham","E 149 St","Bx","6","Subway","40.812118","-73.904098","Pelham Bay Park","Manhattan"
375,374,"374","616","IRT","Pelham","E 143 St - St Mary's St","Bx","6","Subway","40.808719","-73.907657","Pelham Bay Park","Manhattan"
376,375,"375","617","IRT","Pelham","Cypress Av","Bx","6","Subway","40.805368","-73.914042","Pelham Bay Park","Manhattan"
377,376,"376","618","IRT","Pelham","Brook Av","Bx","6","Subway","40.807566","-73.91924","Pelham Bay Park","Manhattan"
378,377,"377","619","IRT","Pelham","3 Av - 138 St","Bx","6","Subway","40.810476","-73.926138","Pelham Bay Park","Manhattan"
379,378,"378","401","IRT","Jerome Av","Woodlawn","Bx","4","Elevated","40.886037","-73.878751","","Manhattan"
380,379,"379","402","IRT","Jerome Av","Mosholu Pkwy","Bx","4","Elevated","40.87975","-73.884655","Woodlawn","Manhattan"
381,380,"380","405","IRT","Jerome Av","Bedford Park Blvd - Lehman College","Bx","4","Elevated","40.873412","-73.890064","Woodlawn","Manhattan"
382,381,"381","406","IRT","Jerome Av","Kingsbridge Rd","Bx","4","Elevated","40.86776","-73.897174","Woodlawn","Manhattan"
383,382,"382","407","IRT","Jerome Av","Fordham Rd","Bx","4","Elevated","40.862803","-73.901034","Woodlawn","Manhattan"
384,383,"383","408","IRT","Jerome Av","183 St","Bx","4","Elevated","40.858407","-73.903879","Woodlawn","Manhattan"
385,384,"384","409","IRT","Jerome Av","Burnside Av","Bx","4","Elevated","40.853453","-73.907684","Woodlawn","Manhattan"
386,385,"385","410","IRT","Jerome Av","176 St","Bx","4","Elevated","40.84848","-73.911794","Woodlawn","Manhattan"
387,386,"386","411","IRT","Jerome Av","Mt Eden Av","Bx","4","Elevated","40.844434","-73.914685","Woodlawn","Manhattan"
388,387,"387","412","IRT","Jerome Av","170 St","Bx","4","Elevated","40.840075","-73.917791","Woodlawn","Manhattan"
389,388,"388","413","IRT","Jerome Av","167 St","Bx","4","Elevated","40.835537","-73.9214","Woodlawn","Manhattan"
390,389,"604","414","IRT","Jerome Av","161 St - Yankee Stadium","Bx","4","Elevated","40.827994","-73.925831","Woodlawn","Manhattan"
391,390,"603","415","IRT","Jerome Av","149 St - Grand Concourse","Bx","4","Subway","40.818375","-73.927351","Woodlawn","Manhattan"
392,391,"391","416","IRT","Jerome Av","138 St - Grand Concourse","Bx","4 5","Subway","40.813224","-73.929849","Woodlawn - Eastchester Dyre Av","Manhattan"
393,392,"392","621","IRT","Lexington Av","125 St","M","4 5 6","Subway","40.804138","-73.937594","The Bronx","Downtown & Brooklyn"
394,393,"393","622","IRT","Lexington Av","116 St","M","6","Subway","40.798629","-73.941617","Uptown & The Bronx","Downtown"
395,394,"394","623","IRT","Lexington Av","110 St","M","6","Subway","40.79502","-73.94425","Uptown & The Bronx","Downtown"
396,395,"395","624","IRT","Lexington Av","103 St","M","6","Subway","40.7906","-73.947478","Uptown & The Bronx","Downtown"
397,396,"396","625","IRT","Lexington Av","96 St","M","6","Subway","40.785672","-73.95107","Uptown & The Bronx","Downtown"
398,397,"397","626","IRT","Lexington Av","86 St","M","4 5 6","Subway","40.779492","-73.955589","Uptown & The Bronx","Downtown & Brooklyn"
399,398,"398","627","IRT","Lexington Av","77 St","M","6","Subway","40.77362","-73.959874","Uptown & The Bronx","Downtown"
400,399,"399","628","IRT","Lexington Av","68 St - Hunter College","M","6","Subway","40.768141","-73.96387","Uptown & The Bronx","Downtown"
401,400,"613","629","IRT","Lexington Av","59 St","M","4 5 6","Subway","40.762526","-73.967967","Uptown & The Bronx","Downtown & Brooklyn"
402,401,"612","630","IRT","Lexington Av","51 St","M","6","Subway","40.757107","-73.97192","Uptown & The Bronx","Downtown"
403,402,"610","631","IRT","Lexington Av","Grand Central - 42 St","M","4 5 6","Subway","40.751776","-73.976848","Uptown & The Bronx","Downtown & Brooklyn"
404,403,"403","632","IRT","Lexington Av","33 St","M","6","Subway","40.746081","-73.982076","Uptown & The Bronx","Downtown"
405,404,"404","633","IRT","Lexington Av","28 St","M","6","Subway","40.74307","-73.984264","Uptown & The Bronx","Downtown"
406,405,"405","634","IRT","Lexington Av","23 St","M","6","Subway","40.739864","-73.986599","Uptown & The Bronx","Downtown"
407,406,"602","635","IRT","Lexington Av","14 St - Union Sq","M","4 5 6","Subway","40.734673","-73.989951","Uptown & The Bronx","Downtown & Brooklyn"
408,407,"407","636","IRT","Lexington Av","Astor Pl","M","6","Subway","40.730054","-73.99107","Uptown & The Bronx","Downtown"
409,408,"619","637","IRT","Lexington Av","Bleecker St","M","6","Subway","40.725915","-73.994659","Uptown & The Bronx","Downtown"
410,409,"409","638","IRT","Lexington Av","Spring St","M","6","Subway","40.722301","-73.997141","Uptown & The Bronx","Downtown"
411,410,"623","639","IRT","Lexington Av","Canal St","M","6","Subway","40.718803","-74.000193","Uptown & The Bronx","Downtown"
412,411,"622","640","IRT","Lexington Av","Brooklyn Bridge - City Hall","M","4 5 6","Subway","40.713065","-74.004131","Uptown & The Bronx","Downtown & Brooklyn"
